10001,315,10TH                          ,AVE       ,                    ,,                    
10001,317,10TH                          ,AVE       ,                    ,,                    
10001,442,10TH                          ,AVE       ,                    ,,                    
10001,253,10TH                          ,AVE       ,                    ,,                    
10001,440,10TH                          ,AVE       ,                    ,,                    
10001,447,10TH                          ,AVE       ,                    ,,                    
10001,299,10TH                          ,AVE       ,                    ,,                    
10001,301,10TH                          ,AVE       ,                    ,,                    
10001,248,10TH                          ,AVE       ,                    ,,                    
10001,294,5TH                           ,AVE       ,                    ,,                    
10001,284,5TH                           ,,NON-EVICT COOP/CONDO,,                    
10001,777,6TH                           ,AVE       ,                    ,,                    
10001,819,6TH                           ,AVE       ,                    ,,                    
10001,371,7TH                           ,AVE       ,                    ,                    ,                    
10001,322 TO 324          ,7TH                           ,AVE       ,                    ,,                    
10001,315,7TH                           ,AVE       ,                    ,,                    
10001,397,8TH                           ,AVE       ,HOTEL               ,MULTIPLE DWELLING B ,                    
10001,370,8TH                           ,AVE       ,ROOMING HOUSE       ,MULTIPLE DWELLING B ,                    
10001,401,8TH                           ,,MULTIPLE DWELLING B ,,                    
10001,288,8TH                           ,AVE       ,                    ,,                    
10001,328,8TH                           ,AVE       ,                    ,,                    
10001,330,8TH                           ,AVE       ,                    ,,                    
10001,402,8TH                           ,AVE       ,                    ,,                    
10001,364,8TH                           ,AVE       ,ROOMING HOUSE       ,,                    
10001,368,8TH                           ,AVE       ,ROOMING HOUSE       ,,                    
10001,362,8TH                           ,AVE       ,ROOMING HOUSE       ,,                    
10001,237,9TH                           ,AVE       ,                    ,,                    
10001,239,9TH                           ,AVE       ,                    ,,                    
10001,413,9TH                           ,AVE       ,                    ,,                    
10001,415 TO 417          ,9TH                           ,AVE       ,                    ,,                    
10001,235,9TH                           ,AVE       ,                    ,,                    
10001,819,AVENUE OF THE AMERICAS        ,,,,
10001,1186,BROADWAY                      ,          ,HOTEL               ,MULTIPLE DWELLING B ,                    
10001,1234,BROADWAY                      ,          ,HOTEL               ,MULTIPLE DWELLING B ,ROOMING HOUSE       
10001,280,W 25TH                        ,ST        ,MULTIPLE DWELLING B ,,                    
10001,406,W 25TH                        ,ST        ,                    ,,                    
10001,446,W 25TH                        ,ST        ,                    ,,                    
10001,270,W 25TH                        ,ST        ,                    ,,                    
10001,226,W 25TH                        ,ST        ,                    ,,                    
10001,228,W 25TH                        ,ST        ,                    ,,                    
10001,245,W 25TH                        ,ST        ,                    ,,                    
10001,416,W 25TH                        ,ST        ,                    ,,                    
10001,120,W 25TH                        ,ST        ,                    ,,                    
10001,126,W 25TH                        ,ST        ,                    ,,                    
10001,124,W 25TH                        ,ST        ,                    ,,                    
10001,231,W 25TH                        ,ST        ,                    ,,                    
10001,400,W 25TH                        ,ST        ,J-51                ,,                    
10001,412,W 25TH                        ,ST        ,J-51                ,,                    
10001,266,W 25TH                        ,ST        ,MULTI-FAMILY        ,,                    
10001,264,W 25TH                        ,ST        ,MULTI-FAMILY        ,,                    
10001,219 TO 225          ,W 25TH                        ,ST        ,NON-EVICT COOP/CONDO,,                    
10001,239,W 26TH                        ,ST        ,J-51                ,MULTIPLE DWELLING B ,                    
10001,135,W 26TH                        ,ST        ,                    ,,                    
10001,229,W 26TH                        ,ST        ,                    ,,                    
10001,247,W 26TH                        ,ST        ,                    ,,                    
10001,251,W 26TH                        ,ST        ,                    ,,                    
10001,249,W 26TH                        ,ST        ,                    ,,                    
