bbl,zip,bldg_no,street_name,street_suffix,boro,block,lot,multiple_dwelling_class,is_condo_coop,abatement_type,raw_flags,second_frontage
3001467501,11201,436,ALBEE,SQ,3,146,7501,A,0,,,
3002910045,11201,131,AMITY,ST,3,291,45,A,0,,,
3002960019,11201,138,AMITY,ST,3,296,19,A,0,,,
3002910040,11201,141,AMITY,ST,3,291,40,A,0,,,
3002910038,11201,145,AMITY,ST,3,291,38,A,0,,,
3002910037,11201,147,AMITY,ST,3,291,37,A,0,,,
3002910034,11201,153,AMITY,ST,3,291,34,B,0,,ROOMING HOUSE,
3002910033,11201,155,AMITY,ST,3,291,33,A,0,,,
3002970015,11201,174,AMITY,ST,3,297,15,A,0,,,
3002970016,11201,176,AMITY,ST,3,297,16,A,0,,,
3002920049,11201,177,AMITY,ST,3,292,49,A,1,,NON-EVICT COOP/CONDO,
3002920047,11201,181,AMITY,ST,3,292,47,A,0,,,
3002970019,11201,184,AMITY,ST,3,297,19,A,0,,,
3020610040,11201,122,ASHLAND,PL,3,2061,40,A,1,,NON-EVICT COOP/CONDO,
3002740016,11201,85,ATLANTIC,AVE,3,274,16,A,0,,,
3002840013,11201,88,ATLANTIC,AVE,3,284,13,A,0,,,
3002840015,11201,90,ATLANTIC,AVE,3,284,15,A,0,,,
3002740013,11201,93,ATLANTIC,AVE,3,274,13,A,0,,,
3002740011,11201,99,ATLANTIC,AVE,3,274,11,A,0,,,
3002850010,11201,120 TO 122,ATLANTIC,AVE,3,285,10,A,0,,,
3002850023,11201,148,ATLANTIC,AVE,3,285,23,A,0,,,
3002860008,11201,164 TO 168,ATLANTIC,AVE,3,286,8,A,0,J-51,J-51,
3002867505,11201,182 TO 200,ATLANTIC,AVE,3,286,7505,A,0,421-A (1-15),421-A (1-15),
3002760007,11201,189 TO 191,ATLANTIC,AVE,3,276,7,A,0,,,
3002780026,11201,224,ATLANTIC,AVE,3,278,26,A,0,,,
3001810022,11201,284,ATLANTIC,AVE,3,181,22,A,0,,,
3001810024,11201,288,ATLANTIC,AVE,3,181,24,A,0,,,
3001820006,11201,302,ATLANTIC,AVE,3,182,6,A,0,,,
3001820007,11201,304 TO 306,ATLANTIC,AVE,3,182,7,A,0,,,
3001760049,11201,307,ATLANTIC,AVE,3,176,49,A,0,421-A (1-15),421-A (1-15),
3001760041,11201,325 TO 327,ATLANTIC,AVE,3,176,41,A,0,,,
3003090013,11201,96,BALTIC,ST,3,309,13,A,0,,,
3003090014,11201,98,BALTIC,ST,3,309,14,A,0,,,
3003090019,11201,108,BALTIC,ST,3,309,19,A,0,,,
3003090020,11201,110,BALTIC,ST,3,309,20,A,0,,,
3003057501,11201,129 TO 135,BALTIC,ST,3,305,7501,A,1,,NON-EVICT COOP/CONDO,
3003107502,11201,134 TO 138,BALTIC,ST,3,310,7502,A,1,,NON-EVICT COOP/CONDO,
3003050034,11201,151,BALTIC,ST,3,305,34,A,0,,,
3003060029,11201,203,BALTIC,ST,3,306,29,A,0,,,
3003960053,11201,311,BALTIC,ST,3,396,53,A,0,,,
3003960051,11201,319,BALTIC,ST,3,396,51,A,0,,,
3004030023,11201,362,BALTIC,ST,3,403,23,A,0,,,
3004030026,11201,366,BALTIC,ST,3,403,26,B,0,,GARDEN COMPLEX,
3004030028,11201,368,BALTIC,ST,3,403,28,B,0,,,
3004030029,11201,370,BALTIC,ST,3,403,29,A,0,,,
3003977505,11201,375,BALTIC,ST,3,397,7505,A,0,,GARDEN COMPLEX,
3003977504,11201,377,BALTIC,ST,3,397,7504,A,0,,GARDEN COMPLEX,
3001930035,11201,57 TO 59,BERGEN,ST,3,193,35,A,0,,,
3001930031,11201,65 TO 67,BERGEN,ST,3,193,31,A,0,,,
3001940061,11201,95,BERGEN,ST,3,194,61,A,0,,,
3001940060,11201,97,BERGEN,ST,3,194,60,A,0,,,
3001940058,11201,101,BERGEN,ST,3,194,58,A,0,,,
3001940056,11201,105,BERGEN,ST,3,194,56,A,0,,,
3003850029,11201,122,BERGEN,ST,3,385,29,A,0,,,
3001530003,11201,1 TO 17,BOERUM,PL,3,153,3,A,0,421-A (16),421-A (16),342 FULTON ST
3001870005,11201,105,BOERUM,PL,3,187,5,B,0,,,
3001870004,11201,107,BOERUM,PL,3,187,4,B,0,,,
3001667502,11201,33,BOND,ST,3,166,7502,A,0,421-A (1-15),421-A (1-15),
3001527501,11201,388,BRIDGE,ST,3,152,7501,A,0,,,
3002450025,11201,15,BRIDGE PARK,DR,3,245,25,A,0,,PILOT,
3001197501,11201,22,CHAPEL,ST,3,119,7501,A,0,421-A (16),421-A (16),
3002340043,11201,12 TO 14,CLARK,ST,3,234,43,A,0,,,
3002350042,11201,32 TO 40,CLARK,ST,3,235,42,A,0,,,
3002300017,11201,35,CLARK,ST,3,230,17,A,1,,EVICT COOP/CONDO,116122 HICKS ST
3002360101,11201,50,CLARK,ST,3,236,101,A,0,,,
3002360103,11201,52 TO 58,CLARK,ST,3,236,103,A,0,,GARDEN COMPLEX,
3002360107,11201,60,CLARK,ST,3,236,107,A,0,,,
3002360108,11201,62,CLARK,ST,3,236,108,A,0,,,
3002360109,11201,64,CLARK,ST,3,236,109,A,0,,,
3002360110,11201,66,CLARK,ST,3,236,110,A,0,,,
3002360112,11201,70,CLARK,ST,3,236,112,A,1,,NON-EVICT COOP/CONDO,
3002380065,11201,40,CLINTON,ST,3,238,65,A,1,,NON-EVICT COOP/CONDO,
3002507501,11201,67 TO 85,CLINTON,ST,3,250,7501,A,0,J-51,J-51,
3002670027,11201,146 TO 148,CLINTON,ST,3,267,27,A,0,,GARDEN COMPLEX,1624 AITKEN PL
3002670028,11201,150,CLINTON,ST,3,267,28,A,0,,GARDEN COMPLEX,
3002670031,11201,156,CLINTON,ST,3,267,31,B,0,,,
3002760023,11201,169,CLINTON,ST,3,276,23,A,0,,,
3002670038,11201,170,CLINTON,ST,3,267,38,A,0,,,
3002670039,11201,172,CLINTON,ST,3,267,39,A,0,,,
3002760021,11201,173,CLINTON,ST,3,276,21,A,0,,,
3002750001,11201,186 TO 202,CLINTON,ST,3,275,1,A,0,,,
3002920007,11201,203,CLINTON,ST,3,292,7,A,0,,,
3002920002,11201,211,CLINTON,ST,3,292,2,A,0,,,
3002850029,11201,212,CLINTON,ST,3,285,29,A,0,,,
3002970003,11201,231,CLINTON,ST,3,297,3,A,0,,,
3003070006,11201,265,CLINTON,ST,3,307,6,A,0,,,
3003060024,11201,286,CLINTON,ST,3,306,24,A,0,,,
3003060025,11201,288,CLINTON,ST,3,306,25,A,0,,,
3003060026,11201,290,CLINTON,ST,3,306,26,A,0,,,
3003110027,11201,302,CLINTON,ST,3,311,27,A,0,,,
3002580017,11201,8 TO 12,COLUMBIA,PL,3,258,17,A,0,,,
3002590019,11201,19,COLUMBIA,PL,3,259,19,A,0,,,
3002580046,11201,38,COLUMBIA,PL,3,258,46,A,0,,,
3002580047,11201,40,COLUMBIA,PL,3,258,47,A,0,,,
3002580048,11201,42,COLUMBIA,PL,3,258,48,A,0,,,
3002590008,11201,43,COLUMBIA,PL,3,259,8,A,0,J-51,GARDEN COMPLEX J-51,
3003090001,11201,115,COLUMBIA,ST,3,309,1,A,0,,GARDEN COMPLEX,
3002340037,11201,141,COLUMBIA HTS,,3,234,37,A,0,,,
3002080216,11201,146,COLUMBIA HTS,,3,208,216,A,1,,NON-EVICT COOP/CONDO,
3002340035,11201,147,COLUMBIA HTS,,3,234,35,A,0,,,
3002080203,11201,150,COLUMBIA HTS,,3,208,203,A,0,,,
3002340033,11201,151,COLUMBIA HTS,,3,234,33,A,0,,,
3002347503,11201,167 TO 171,COLUMBIA HTS,,3,234,7503,B,1,,COOP/CONDO PLAN FILE,
3002340023,11201,173,COLUMBIA HTS,,3,234,23,A,0,,,
3002340015,11201,187,COLUMBIA HTS,,3,234,15,A,0,,,
3002080312,11201,200,COLUMBIA HTS,,3,208,312,A,0,,,
3002080308,11201,210,COLUMBIA HTS,,3,208,308,A,0,,,
3001070048,11201,127 TO 131,CONCORD,ST,3,107,48,A,0,421-A (16),GARDEN COMPLEX 421-A (16),
3001070047,11201,133,CONCORD,ST,3,107,47,A,0,,,
3002950040,11201,109,CONGRESS,ST,3,295,40,A,0,,,
3002960037,11201,167,CONGRESS,ST,3,296,37,A,0,,,
3002960033,11201,175,CONGRESS,ST,3,296,33,A,0,,,
3002960032,11201,177,CONGRESS,ST,3,296,32,A,0,,,
3002960029,11201,183,CONGRESS,ST,3,296,29,A,0,,,
3003020009,11201,198 TO 228,CONGRESS,ST,3,302,9,A,1,,NON-EVICT COOP/CONDO,
3002970033,11201,223,CONGRESS,ST,3,297,33,A,0,,,
3002657502,11201,54 TO 56,COURT,ST,3,265,7502,A,1,,COOP/CONDO PLAN FILE,
3002710018,11201,119,COURT,ST,3,271,18,A,0,421-A (1-15),421-A (1-15),183 STATE ST
3002777501,11201,125,COURT,ST,3,277,7501,A,0,421-A (1-15),421-A (1-15),211235 ATLANTIC AVE
3002780015,11201,145 TO 147,COURT,ST,3,278,15,A,0,,,
3002790021,11201,155,COURT,ST,3,279,21,A,0,,,
3002920032,11201,156,COURT,ST,3,292,32,A,0,,,
3002790020,11201,157,COURT,ST,3,279,20,A,0,,,
3002800022,11201,171,COURT,ST,3,280,22,A,0,,,
3003840007,11201,191,COURT,ST,3,384,7,A,0,,,
3003020037,11201,194,COURT,ST,3,302,37,A,0,,,
3003020039,11201,196,COURT,ST,3,302,39,A,0,,,
3003020040,11201,198,COURT,ST,3,302,40,A,0,,,
3003020041,11201,200,COURT,ST,3,302,41,A,0,,,
3003900005,11201,213,COURT,ST,3,390,5,A,0,,,
3003960002,11201,239,COURT,ST,3,396,2,B,0,,,
3003120032,11201,240,COURT,ST,3,312,32,A,0,,,
3002140023,11201,15,CRANBERRY,ST,3,214,23,A,1,,COOP/CONDO PLAN FILE,
3002210017,11201,66,CRANBERRY,ST,3,221,17,A,0,,,
3002210020,11201,80,CRANBERRY,ST,3,221,20,A,0,,,
3002800023,11201,2 TO 4,DEAN,ST,3,280,23,A,0,,,
3002800027,11201,16,DEAN,ST,3,280,27,A,0,,,
3001940033,11201,128,DEAN,ST,3,194,33,A,0,,,
3001497501,11201,7,DEKALB,AVE,3,149,7501,A,0,,,
3001497503,11201,9 TO 31,DEKALB,AVE,3,149,7503,A,0,421-A (16),421-A (16),4785 FLEET ST
3020940010,11201,74 TO 82,DEKALB,AVE,3,2094,10,A,0,421-A (1-15),421-A (1-15),
3001080019,11201,14,DUFFIELD,ST,3,108,19,A,0,421-A (16),GARDEN COMPLEX 421-A (16),
3001210015,11201,43,DUFFIELD,ST,3,121,15,A,0,,GARDEN COMPLEX,
3001210012,11201,49,DUFFIELD,ST,3,121,12,A,0,421-A (1-15),GARDEN COMPLEX 421-A (1-15),
3001460007,11201,237 TO 243,DUFFIELD,ST,3,146,7,A,0,,,
3001207503,11201,81 TO 95,FLATBUSH AVENUE EXT,,3,120,7503,A,0,,,
3020610110,11201,81,FLEET,PL,3,2061,110,A,0,421-A (1-15),ROOMING HOUSE 421-A (1-15),
3020617501,11201,86,FLEET,PL,3,2061,7501,A,0,421-A (1-15),421-A (1-15),
3000530009,11201,126,FRONT,ST,3,53,9,A,0,,,
3000410042,11201,177 TO 183,FRONT,ST,3,41,42,A,0,421-A (1-15),421-A (1-15),
3000410017,11201,195 TO 215,FRONT,ST,3,41,17,A,0,J-51,J-51,206220 WATER ST
3001617502,11201,540,FULTON,ST,3,161,7502,A,0,421-A (16),421-A (16),
3002610030,11201,8,GARDEN,PL,3,261,30,A,0,,,
3002620008,11201,49,GARDEN,PL,3,262,8,A,0,,,
3000420024,11201,68 TO 86,GOLD,ST,3,42,24,A,0,421-A (16),421-A (16),276 WATER ST
3000560003,11201,89 TO 107,GOLD,ST,3,56,3,A,0,,,
3000560002,11201,109,GOLD,ST,3,56,2,A,0,,,
3001220013,11201,235 TO 263,GOLD,ST,3,122,13,A,0,421-A (1-15),421-A (1-15),
3001210003,11201,248 TO 268,GOLD,ST,3,121,3,A,0,421-A (16),421-A (16),155 TILLARY ST
3001220005,11201,277,GOLD,ST,3,122,5,A,0,421-A (1-15),421-A (1-15),
3001340001,11201,309,GOLD,ST,3,134,1,A,0,421-A (1-15),421-A (1-15),
3020490002,11201,329 TO 345,GOLD,ST,3,2049,2,A,0,421-A (1-15),421-A (1-15),
3002520008,11201,2 TO 30,GRACE,CT,3,252,8,A,0,,,
3002510055,11201,19 TO 21,GRACE,CT,3,251,55,A,0,,,
3002160031,11201,46,HENRY,ST,3,216,31,B,0,,,
3002210027,11201,62,HENRY,ST,3,221,27,B,0,,,
3002260028,11201,84,HENRY,ST,3,226,28,A,0,,,
3002310001,11201,92 TO 106,HENRY,ST,3,231,1,B,0,,,51 CLARK ST
3002360116,11201,114 TO 116,HENRY,ST,3,236,116,A,0,,,
3002370037,11201,115,HENRY,ST,3,237,37,A,0,,GARDEN COMPLEX,
3002370036,11201,117,HENRY,ST,3,237,36,A,0,,,
3002370034,11201,121,HENRY,ST,3,237,34,A,0,,,
3002370029,11201,133,HENRY,ST,3,237,29,A,0,,,
3002360129,11201,140,HENRY,ST,3,236,129,A,0,,,
3002360130,11201,142,HENRY,ST,3,236,130,A,0,,,
3002360131,11201,144,HENRY,ST,3,236,131,A,0,,,
3002370020,11201,145,HENRY,ST,3,237,20,A,0,,,
3002360135,11201,152,HENRY,ST,3,236,135,A,0,,ROOMING HOUSE,
3002620038,11201,248,HENRY,ST,3,262,38,A,0,,,
3002620040,11201,252,HENRY,ST,3,262,40,A,0,,,
3002620042,11201,256,HENRY,ST,3,262,42,A,0,,,
3002620048,11201,268,HENRY,ST,3,262,48,A,0,,,
3002620050,11201,272,HENRY,ST,3,262,50,B,0,,,
